,artist_name,num_of_albums,first_release,last_release,avg_tracks_per_album,streams_b,followers_mio,listeners_mio,scoring
0,"""Tito """"El Bambino""""""",10,2006-01-01,2020-12-18,16.0,1.34,3.78,8.99,5
1,$uicideboy$,18,2014-12-22,2022-12-16,11.0,10.75,6.0,11.16,23
2,(G)I-DLE,1,2022-03-14,2022-03-14,8.0,2.5,7.21,11.11,10
3,*NSYNC,8,1997,2002-10-05,15.0,1.93,2.06,7.26,5
4,21 Savage,5,2016-07-15,2020-10-19,15.0,13.43,14.79,56.0,52
5,24kGoldn,2,2019-11-22,2021-03-26,12.0,4.35,2.08,14.01,9
6,2Pac,16,1991-11-12,2023-02-17,19.0,8.04,16.14,23.14,27
7,3 Doors Down,12,2000,2023-08-11,15.0,2.6,4.21,11.32,8
8,5 Seconds of Summer,10,2014,2023-04-14,15.0,8.91,9.65,19.86,23
9,50 Cent,7,2003-02-06,2019-05-20,18.0,8.14,12.39,31.28,29
10,A Boogie Wit da Hoodie,10,2016-09-16,2022-12-12,18.0,9.39,7.7,19.52,24
11,A Day To Remember,10,2005,2021-03-05,14.0,2.79,2.27,5.15,5
12,A$AP Ferg,5,2013-08-19,2020-09-25,13.0,3.29,3.67,11.6,8
13,A$AP Rocky,4,2011-10-31,2018-05-25,16.0,9.11,12.79,29.62,31
14,ABBA,14,1973,2021-11-05,19.0,6.79,10.91,27.63,24
15,AC/DC,21,1976-05-14,2020-11-13,12.0,10.15,27.33,28.53,37
16,AJR,6,2013,2021-03-26,14.0,3.97,3.03,10.14,9
17,ANAVITÓRIA,4,2017-10-27,2021-01-01,13.0,2.24,6.85,5.08,6
18,AP Dhillon,1,2020-12-23,2020-12-23,7.0,2.63,4.2,16.54,10
19,ATEEZ,8,2019-10-08,2022-07-29,9.0,1.76,3.16,3.68,5
20,Adele,4,2008-11-17,2021-11-19,14.0,17.93,51.29,51.65,73
21,Aerosmith,23,1973-01-05,2022-04-08,13.0,5.2,13.81,23.4,19
22,Agust D,3,2016-08-16,2023-04-21,10.0,1.59,12.75,4.31,7
23,Air Supply,24,1976-12-01,2020-03-31,13.0,1.59,4.04,5.91,5
24,Alan Jackson,22,1989-04-03,2021-05-14,13.0,2.78,2.48,8.86,7
25,Alan Walker,3,2018-12-14,2022-11-25,13.0,10.44,39.37,30.89,42
26,Alanis Morissette,17,1995,2022-06-17,17.0,1.71,2.62,7.14,5
27,Alec Benjamin,3,2018-11-16,2022-04-15,12.0,4.52,4.56,17.84,13
28,Alex Rose,3,2019-11-08,2023-07-28,12.0,2.26,3.75,7.15,6
29,Alfredo Olivas,7,2010-01-01,2022-09-30,14.0,3.22,6.51,10.03,11
30,Ali Gatie,4,2019-11-08,2022-10-21,15.0,2.65,2.09,8.67,6
31,Alice In Chains,8,1990-08-01,2018-08-24,12.0,2.41,4.71,7.54,7
32,Alok,3,2022-06-24,2023-04-07,12.0,5.42,12.24,23.74,21
33,Aminé,5,2017-07-28,2021-11-05,15.0,3.06,1.88,9.6,6
34,Ana Gabriel,32,1984,2020-12-11,15.0,1.57,3.93,7.88,5
35,Andrés Calamaro,28,1984-07-08,2023-06-02,23.0,1.79,2.34,7.19,5
36,Andy Grammer,4,2011-06-14,2019-07-26,13.0,2.89,1.17,8.92,5
37,Anirudh Ravichander,39,2011-12-23,2023-09-05,12.0,3.58,21.7,24.87,22
38,Anitta,7,2013-02-06,2022-08-25,17.0,7.43,13.1,20.35,23
39,Anuel AA,6,2018-07-17,2022-12-09,18.0,17.46,32.27,32.92,60
40,Arctic Monkeys,8,2006-01-29,2022-10-21,13.0,15.67,21.48,46.13,55
41,Aretha Franklin,61,1956-01-01,2023-06-23,15.0,2.72,3.22,11.47,7
42,Ariana Grande,9,2013-01-01,2023-08-25,17.0,38.14,93.69,66.53,141
43,Armaan Malik,3,2014-01-01,2020-07-21,7.0,1.38,19.21,14.38,9
44,Armin van Buuren,20,2003-06-16,2023-09-08,37.0,4.5,4.34,14.71,12
45,Ashnikko,2,2021-01-15,2023-08-25,12.0,1.71,2.03,6.35,5
46,Audioslave,4,2002-11-17,2022-02-18,13.0,1.92,4.28,7.71,6
47,Ava Max,2,2020-09-18,2023-01-27,15.0,7.86,6.0,32.51,23
48,Avenged Sevenfold,13,2002-03-19,2023-06-02,13.0,4.51,6.51,9.16,12
49,Avicii,6,2013-01-01,2019-06-06,11.0,14.41,23.23,36.15,45
50,Avril Lavigne,9,2002-06-04,2022-11-25,16.0,5.29,10.29,18.31,17
51,Axwell /\ Ingrosso,1,2017-07-28,2017-07-28,15.0,2.54,2.47,7.64,5
52,Aya Nakamura,6,2017-08-25,2023-08-17,17.0,2.94,4.24,8.7,8
