id,picture,artist,hottest,streams_b,followers_mio,listeners_mio,scoring
1,,Taylor Swift,100,57.99,86.48,100.97,233
2,,Drake,95,62.97,79.86,75.33,205
3,,Bad Bunny,94,58.00,74.24,74.80,189
4,,The Weeknd,94,47.65,71.64,106.92,186
5,,Ed Sheeran,87,44.58,115.09,75.72,166
6,,Ariana Grande,87,38.23,93.83,66.34,141
7,,Justin Bieber,88,38.19,74.29,73.24,139
8,,Eminem,88,37.54,76.68,63.69,134
9,,Billie Eilish,88,29.34,86.41,71.08,125
10,,Post Malone,89,35.28,42.11,63.26,113
11,,Rihanna,88,26.29,57.90,76.33,109
12,,BTS,87,35.50,69.61,32.76,106
13,,Coldplay,86,27.68,47.28,65.80,99
14,,Dua Lipa,86,26.97,41.60,75.69,98
15,,Imagine Dragons,86,26.64,50.33,59.21,96
16,,Bruno Mars,87,22.55,51.05,65.81,93
17,,Travis Scott,93,26.05,24.19,65.08,91
18,,J Balvin,84,31.35,37.93,51.61,91
19,,Kanye West,89,31.82,21.32,58.18,89
20,,David Guetta,87,24.42,26.65,70.04,83
21,,Ozuna,86,25.24,38.10,45.36,82
22,,Maroon 5,83,23.50,41.53,57.16,81
23,,KAROL G,90,17.47,39.62,56.63,78
24,,XXXTENTACION,84,25.64,43.08,35.90,77
25,,Adele,84,17.98,51.41,52.17,74
26,,Daddy Yankee,85,20.26,33.91,53.19,73
27,,Queen,83,19.68,48.40,47.39,73
28,,Lana Del Rey,90,18.46,27.92,56.61,73
29,,Beyoncé,85,19.76,35.97,50.41,72
30,,Juice WRLD,86,27.41,30.68,29.61,72
31,,Shawn Mendes,81,21.87,42.51,44.26,71
32,,Kendrick Lamar,87,22.41,25.39,47.23,71
33,,Calvin Harris,84,21.28,23.64,64.43,70
34,,Selena Gomez,83,16.84,45.23,56.14,70
35,,Nicki Minaj,86,18.19,29.57,61.08,70
36,,Harry Styles,85,19.02,29.37,58.85,70
37,,Shakira,86,16.65,31.42,63.44,69
38,,Sam Smith,83,21.29,23.14,55.88,66
39,,Doja Cat,87,15.14,26.31,68.26,65
40,,Lady Gaga,83,18.62,27.96,52.45,64
41,,Khalid,83,23.95,16.15,51.51,63
42,,Arijit Singh,89,9.37,89.51,39.62,63
43,,Marshmello,82,15.62,35.33,57.10,62
44,,Olivia Rodrigo,90,12.52,28.07,61.87,62
45,,One Direction,82,18.80,33.24,38.33,61
46,,Future,88,18.97,14.86,51.34,60
47,,Anuel AA,86,17.39,32.40,32.94,60
48,,Chris Brown,85,18.42,20.55,47.19,59
49,,Miley Cyrus,85,14.48,22.15,71.34,59
50,,J. Cole,85,18.36,21.40,40.71,58
51,,Katy Perry,82,15.44,29.39,51.39,58
52,,Rauw Alejandro,87,17.33,18.50,45.78,58
53,,Maluma,83,15.65,34.56,38.93,57
54,,Sia,82,15.98,26.98,46.47,56
55,,Arctic Monkeys,85,15.74,21.55,46.75,55
56,,SZA,88,14.07,14.73,62.93,54
57,,21 Savage,89,13.48,14.84,56.25,52
58,,Linkin Park,83,16.19,24.47,34.38,52
59,,The Beatles,82,16.65,26.19,29.97,51
60,,Halsey,80,16.25,20.94,42.65,50
61,,The Chainsmokers,79,17.26,20.45,37.58,49
62,,Camila Cabello,78,13.92,31.58,38.72,48
63,,Lil Uzi Vert,85,16.06,15.88,34.32,48
64,,Michael Jackson,80,11.99,28.79,36.62,45
65,,BLACKPINK,83,10.78,45.52,24.48,45
66,,Avicii,79,14.44,23.25,36.09,45
67,,OneRepublic,81,12.93,16.27,46.79,44
68,,Myke Towers,87,11.94,12.55,46.82,44
69,,Alan Walker,80,10.47,39.44,31.16,43
70,,Lil Baby,86,12.66,15.31,30.06,42
71,,Farruko,82,13.48,15.55,37.48,42
72,,Red Hot Chili Peppers,81,13.33,20.20,30.17,42
73,,Twenty One Pilots,78,14.64,24.07,25.82,42
74,,Charlie Puth,81,10.24,21.32,40.90,40
75,,Demi Lovato,78,11.73,26.12,32.25,40
76,,Metro Boomin,87,13.43,5.60,51.62,39
77,,Pritam,86,8.52,20.46,35.04,38
78,,Metallica,80,11.15,25.95,25.02,38
79,,Elton John,81,11.03,12.24,47.82,38
80,,Cardi B,79,10.30,22.16,33.77,37
81,,Lil Wayne,84,10.48,14.07,35.14,37
82,,AC/DC,79,10.17,27.37,28.37,37
83,,"Tyler, The Creator",84,11.17,12.63,29.38,36
84,,Pitbull,81,11.52,10.27,36.95,35
85,,Feid,89,10.53,7.37,38.95,35
86,,Nicky Jam,80,10.09,19.26,27.56,35
87,,James Arthur,81,10.13,13.44,38.09,35
88,,Sebastian Yatra,80,9.43,22.42,27.86,35
