,artist,artist_genres,artist_popularity,artist_followers
0,Miguel,['r&b'],77,4788498
1,Mac Miller,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap']",82,9497713
2,Bruno Mars,"['dance pop', 'pop']",87,50939168
3,bôa,[],66,438554
4,Waka Flocka Flame,"['atl hip hop', 'dirty south rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",64,2714590
5,Miguel,['r&b'],77,4788498
6,Zac Brown Band,"['contemporary country', 'country', 'country road', 'modern country rock']",72,3696155
7,Nicki Minaj,"['hip pop', 'pop', 'queens hip hop', 'rap']",86,29523913
8,Train,"['dance pop', 'neo mellow', 'pop', 'pop rock']",71,4356940
9,Kanye West,"['chicago rap', 'hip hop', 'rap']",89,21267742
10,Bruno Mars,"['dance pop', 'pop']",87,50939168
11,Bruno Mars,"['dance pop', 'pop']",87,50939168
12,Kesha,"['dance pop', 'pop']",74,7642761
13,Katy Perry,['pop'],82,29309751
14,Roar,"['pov: indie', 'weirdcore']",66,706938
15,Jason Aldean,"['contemporary country', 'country', 'country road', 'modern country rock']",73,6349106
16,Rihanna,"['barbadian pop', 'pop', 'urban contemporary']",88,57812873
17,Patrick Watson,"['indie folk', 'indie quebecois']",68,610904
18,Kanye West,"['chicago rap', 'hip hop', 'rap']",89,21267742
19,Kanye West,"['chicago rap', 'hip hop', 'rap']",89,21267742
20,Dr. Dog,"['chamber pop', 'indie rock', 'modern folk rock', 'modern rock', 'philly indie', 'pov: indie', 'stomp and holler']",61,494616
21,Don Omar,"['latin hip hop', 'puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",81,10126538
22,Eminem,"['detroit hip hop', 'hip hop', 'rap']",88,76511108
23,Taylor Swift,['pop'],100,86026925
24,Roar,"['pov: indie', 'weirdcore']",66,706938
25,Katy Perry,['pop'],82,29309751
26,Rihanna,"['barbadian pop', 'pop', 'urban contemporary']",88,57812873
27,USHER,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip hop', 'urban contemporary']",78,10751861
28,Kanye West,"['chicago rap', 'hip hop', 'rap']",89,21267742
29,Two Door Cinema Club,"['indie rock', 'indietronica', 'irish rock', 'modern alternative rock', 'modern rock', 'northern irish indie']",67,2341620
30,Justin Bieber,"['canadian pop', 'pop']",87,74210660
31,Bruno Mars,"['dance pop', 'pop']",87,50939168
32,Maroon 5,['pop'],83,41494445
33,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",94,79671951
34,P!nk,"['dance pop', 'pop']",79,15851034
35,Katy Perry,['pop'],82,29309751
36,Mike Posner,"['dance pop', 'pop', 'pop dance', 'pop rap']",68,1375859
37,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",94,79671951
38,Trey Songz,"['dance pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",68,7448401
39,Neon Trees,"['modern rock', 'neo mellow', 'pop rock', 'pov: indie']",63,1256141
40,B.o.B,"['atl hip hop', 'dance pop', 'pop rap', 'rap', 'southern hip hop']",71,2136853
41,Plan B,"['reggaeton', 'trap latino', 'urbano latino']",77,3386064
42,Miguel,['r&b'],77,4788498
43,Kid Cudi,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",78,6675522
44,Katy Perry,['pop'],82,29309751
45,Bruno Mars,"['dance pop', 'pop']",87,50939168
46,Far East Movement,"['asian american hip hop', 'dance pop', 'pop rap']",64,1163926
47,Black Eyed Peas,"['dance pop', 'pop', 'pop rap']",78,7697568
48,USHER,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip hop', 'urban contemporary']",78,10751861
49,Bruno Mars,"['dance pop', 'pop']",87,50939168
50,Zac Brown Band,"['contemporary country', 'country', 'country road', 'modern country rock']",72,3696155
51,Eminem,"['detroit hip hop', 'hip hop', 'rap']",88,76511108
52,B.o.B,"['atl hip hop', 'dance pop', 'pop rap', 'rap', 'southern hip hop']",71,2136853
53,Katy Perry,['pop'],82,29309751
54,Taio Cruz,"['dance pop', 'pop', 'pop rap']",68,2272036
55,Lady A,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road']",65,3834258
56,Mac Miller,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap']",82,9497713
57,Gorillaz,"['alternative hip hop', 'modern rock', 'rock']",77,10843316
58,Jeremih,"['chicago rap', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",72,6554198
59,Mac Miller,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap']",82,9497713
60,Cascada,"['eurodance', 'europop', 'german techno', 'melbourne bounce international']",64,499919
61,Prince Royce,"['bachata', 'latin hip hop', 'latin pop', 'urbano latino']",74,7964140
62,Lil Wayne,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",84,14056774
63,Bruno Mars,"['dance pop', 'pop']",87,50939168
64,Cody Jinks,"['classic texas country', 'modern southern rock', 'outlaw country']",63,907226
65,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",94,79671951
66,Kid Cudi,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",78,6675522
67,Nelly,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'st louis rap', 'urban contemporary']",73,2512423
68,Jason Derulo,"['dance pop', 'pop']",77,11929946
69,Gorillaz,"['alternative hip hop', 'modern rock', 'rock']",77,10843316
70,Rick Ross,"['dirty south rap', 'gangster rap', 'hip hop', 'rap', 'southern hip hop', 'trap']",74,7051310
71,Far East Movement,"['asian american hip hop', 'dance pop', 'pop rap']",64,1163926
72,Nicki Minaj,"['hip pop', 'pop', 'queens hip hop', 'rap']",86,29523913
73,Kid Cudi,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",78,6675522
74,Flo Rida,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",77,8952416
75,The Band Perry,"['contemporary country', 'country', 'country dawn', 'country road']",54,1615064
76,Josh Turner,"['contemporary country', 'country', 'country road']",63,2639576
77,Plan B,"['reggaeton', 'trap latino', 'urbano latino']",77,3386064
78,Kesha,"['dance pop', 'pop']",74,7642761
79,The Steeldrivers,"['bluegrass', 'modern southern rock', 'neo-traditional bluegrass', 'new americana']",60,327164
80,Taio Cruz,"['dance pop', 'pop', 'pop rap']",68,2272036
81,Angus & Julia Stone,"['australian indie folk', 'indie folk']",63,1242475
82,Kesha,"['dance pop', 'pop']",74,7642761
83,Mac Miller,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap']",82,9497713
84,The Black Keys,"['alternative rock', 'blues rock', 'garage rock', 'indie rock', 'indietronica', 'modern blues rock', 'modern rock', 'punk blues', 'rock', 'roots rock']",69,3916077
85,Alex G,"['philly indie', 'pov: indie']",72,1028828
86,Two Door Cinema Club,"['indie rock', 'indietronica', 'irish rock', 'modern alternative rock', 'modern rock', 'northern irish indie']",67,2341620
87,CeeLo Green,['atl hip hop'],64,584814
88,Kanye West,"['chicago rap', 'hip hop', 'rap']",89,21267742
89,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",94,79671951
90,Beach House,"['art pop', 'baltimore indie', 'dream pop', 'dreamo', 'indie pop', 'indie rock', 'indietronica', 'modern dream pop']",70,1931667
91,Avenged Sevenfold,"['alternative metal', 'nu metal']",74,6508554
92,Taylor Swift,['pop'],100,86026925
93,Sick Puppies,"['alternative metal', 'nu metal', 'post-grunge']",56,890147
94,Rihanna,"['barbadian pop', 'pop', 'urban contemporary']",88,57812873
95,Mandy Moore,"['dance pop', 'neo mellow', 'post-teen pop']",62,700077
96,Pierce The Veil,"['pop punk', 'screamo']",71,2616964
97,MARINA,"['metropopolis', 'pop', 'pov: indie', 'uk alternative pop']",71,4903431
98,My Darkest Days,"['alternative metal', 'nu metal', 'post-grunge']",58,579325
99,Jason Aldean,"['contemporary country', 'country', 'country road', 'modern country rock']",73,6349106
100,Taio Cruz,"['dance pop', 'pop', 'pop rap']",68,2272036
101,Ludacris,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",75,2660129
102,Kavinsky,['filter house'],60,862825
103,Kesha,"['dance pop', 'pop']",74,7642761
104,Enrique Iglesias,"['dance pop', 'latin pop', 'mexican pop']",75,11327933
105,Jason Derulo,"['dance pop', 'pop']",77,11929946
106,Prince Royce,"['bachata', 'latin hip hop', 'latin pop', 'urbano latino']",74,7964140
107,Alicia Keys,"['neo soul', 'pop', 'r&b']",76,11051841
108,bôa,[],66,438554
109,Kanye West,"['chicago rap', 'hip hop', 'rap']",89,21267742
110,Enrique Iglesias,"['dance pop', 'latin pop', 'mexican pop']",75,11327933
111,Billy Currington,"['contemporary country', 'country', 'country road']",65,2609065
112,MARINA,"['metropopolis', 'pop', 'pov: indie', 'uk alternative pop']",71,4903431
113,Ellie Goulding,"['indietronica', 'metropopolis', 'pop', 'uk pop']",78,12312017
