,track_id,track,artist,album,track_popularity,acousticness,danceability,energy,instrumentalness,loudness,tempo
0,0JXXNGljqupsJaZsgSbMZV,Sure Thing,Miguel,All I Want Is You,89,0.0267,0.684,0.607,0.000307,-8.127,81.001
1,7FAFkQQZFeNwOFzTrSDFIh,The Spins,Mac Miller,K.I.D.S. (Deluxe),84,0.0135,0.794,0.766,0.0,-3.894,127.006
2,7BqBn9nzAq8spo5e7cZ0dJ,Just the Way You Are,Bruno Mars,Doo-Wops & Hooligans,86,0.0134,0.635,0.841,0.0,-5.379,109.021
3,42qNWdLKCI41S4uzfamhFM,Duvet,bôa,Twilight,85,0.191,0.583,0.888,4.58e-05,-9.414,93.206
4,03tqyYWC9Um2ZqU0ZN849H,No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,Flockaveli,79,0.00544,0.76,0.595,0.0,-6.366,131.497
5,1eUGmzzvahJjOSWgDHuRlv,Girl With The Tattoo Enter.lewd,Miguel,All I Want Is You,82,0.856,0.372,0.239,0.000175,-11.314,113.451
6,60IGhnH20N82dNxKnc8jDd,Knee Deep (feat. Jimmy Buffett),Zac Brown Band,You Get What You Give,78,0.432,0.715,0.584,1.41e-06,-8.231,90.99
7,3hlksXnvbKogFdPbpO9vel,Super Bass,Nicki Minaj,Pink Friday (Complete Edition),82,0.271,0.723,0.86,4.56e-06,-4.357,126.979
8,4HlFJV71xXKIGcU3kRyttv,"Hey, Soul Sister",Train,"Save Me, San Francisco (Golden Gate Edition)",85,0.185,0.673,0.886,0.0,-4.44,97.012
9,1UGD3lW3tDmgZfAVDh6w7r,Devil In A New Dress,Kanye West,My Beautiful Dark Twisted Fantasy,81,0.0175,0.435,0.76,0.0,-4.935,80.082
10,2tJulUYLDKOg9XrtVkMgcJ,Grenade,Bruno Mars,Doo-Wops & Hooligans,80,0.148,0.704,0.558,0.0,-7.273,110.444
